X,Y,name,network,category,denomination,website,awards,icon_size2,year_begun,registration,,first_award,award1,award2,award3,award4
265588.2276,673627.5548,Kirkintilloch Baptist Church,East Dunbartonshire,protestant - reformed,C of S,www.kirkiebaptist.com,0,1,2007,10/10/2007,,,,,,
242707.7552,637971.3793,Laigh West High Parish Church,East Ayrshire,protestant - reformed,C of S,,0,1,2011,09/06/2011,,2011,11/07/2011,,,
336312,584587,"Langholme, Eskdalemuir, Ewes and Westerkirk Parish Church",Dumfries and Galloway,protestant - reformed,C of S,http://leew.org.uk,0,1,2013,12/06/2013,,,,,,
286369.5992,682724.2248,Larbert East Church,Falkirk,protestant - reformed,C of S,http://www.larberteastchurch.com,0,1,2005,07/12/2005,,,,,,
341967.7266,702616.318,Largo and Newburn Parish Church,Fife,protestant - reformed,C of S,http://www.largochurches.org.uk/,0,1,2014,05/03/2014,,,,,,
327210,675663,Leith St. Andrew’s Church,Edinburgh,protestant - reformed,C of S,http://www.leithstandrews.org/,0,1,,06/03/2008,,,,,,
449362.202,1141066.876,Lerwick & Bressay Parish Church,Shetland,protestant - reformed,C of S,http://www.shetland-communities.org.uk/subsites/lbpc/,0,1,2007,26/03/2007,,2010,23/04/2010,08/10/2013,,
345546.7923,721389.4857,Leuchars St Athernase,Fife,protestant - reformed,C of S,http://www.leucharsstathernase.org.uk/,0,1,2005,09/06/2005,,,,,,
328017.5,669949.5,Liberton Northfield Church,Edinburgh,protestant - reformed,C of S,http://libertonnorthfield.co.uk/,0,1,2006,,,2006,01/10/2006,,,
403740.1561,847244.6179,Longside Parish Church,Aberdeenshire,protestant - reformed,C of S,,0,1,2007,20/09/2007,,,,,,
236101.8098,692860.9511,Luss Parish Church,Argyll & Bute,protestant - reformed,C of S,http://lusschurch.com/,0,1,2010,23/06/2010,,,,,,
391769.7427,804548.8936,Mannofield Parish Church,Aberdeen City,protestant - reformed,C of S,http://www.mannofieldchurch.org.uk/,0,1,2006,20/10/2006,,,,,,
256288,669535,Maryhill Parish Church,Glasgow,protestant - reformed,C of S,http://www.maryhillparishchurch.org.uk/,0,1,2013,29/05/2013,,,,,,
249771.6685,627179.8911,Mauchline Parish Church,East Ayrshire,protestant - reformed,C of S,http://www.mauchlineparish.org.uk/welcome.html,0,1,2002,12/02/2002,,,,,,
255240.5394,655359.7431,Maxwell Mearns Castle Parish Church,East Renfrewshire,protestant - reformed,C of S,http://www.maxwellmearns.org.uk/,0,1,2006,16/02/2006,,2006,21/05/2006,30/04/2009,,
374860,764814,Mearns Coastal Parish Church,Aberdeenshire,protestant - reformed,C of S,,0,1,2010,30/06/2010,,,,,,
336195.042,731199.5009,Menzieshill Parish Church,Dundee,protestant - reformed,C of S,http://www.menzieshillparishchurch.org.uk/,0,1,2011,12/01/2011,,,,,,
391102.7377,808774.4187,Middlefield Parish Church,Aberdeen City,protestant - reformed,C of S,,0,1,2006,28/04/2006,,,,,,
349495.1584,732321.5387,Monifieth Parish Church,Angus,protestant - reformed,C of S,www.monifiethparishchurch.co.uk,0,1,2008,12/06/2008,,,,,,
260703.5362,652987.1766,Mossneuk Parish Church,South Lanarkshire,protestant - reformed,C of S,,0,1,2010,,,2010,23/04/2010,,,
267228,664157,Mure Memorial Parish Church,Glasgow,protestant - reformed,C of S,http://www.mure.org/,0,1,2011,09/09/2011,,,,,,
180520,704381,Netherlorn Churches (Craignish Parish Church),Argyll & Bute,protestant - reformed,C of S,http://www.netherlornchurches.org.uk/,0,1,2012,17/09/2012,,,,,,
233863,622468,Newton Wallacetown Church,South Ayrshire,protestant - reformed,C of S,http://www.newtonwallacetown.co.uk/,0,1,2014,08/08/2014,,,,,,
174150.3708,687116.9538,North Knapdale Parish Church Tayvallich,Argyll & Bute,protestant - reformed,C of S,http://argyllcommunities.org/nknapdalecofs/,0,1,2010,01/11/2010,,,,,,
256374,658721,Orchardhill Parish Church,Glasgow,protestant - reformed,C of S,http://www.orchardhill.org.uk/,0,1,,,,,,,,
270466.3992,658599.6029,Parish Church of Bothwell,South Lanarkshire,protestant - reformed,C of S,http://bothwellparishchurch.org.uk/,0,1,2006,13/02/2006,,,,,,
392377.7944,796593.3499,Portlethen Parish Church,Aberdeenshire,protestant - reformed,C of S,www.portlethenparishchurch.com,0,1,2008,15/01/2008,,,,,,
330900,673831,Portobello Old Parish Church,Edinburgh,protestant - reformed,C of S,http://www.oldparishportobello.co.uk/,0,1,2003,25/09/2003,,,,,,
327045,672101,Priestfield Parish Church,Edinburgh,protestant - reformed,C of S,http://priestfield.org.uk/,0,1,2012,01/08/2012,,,,,,
344451.2735,865686.5798,Rathven Parish Church,Moray,protestant - reformed,C of S,,0,1,2004,02/02/2004,,2005,18/11/2005,,,
311035.2244,732882.2024,Redgorton & Stanley Parish Church,Perth & Kinross,protestant - reformed,C of S,,0,1,2006,12/01/2006,,,,,,
302423.3873,692380.798,Saline and Blairingone Parish Church,Fife,protestant - reformed,C of S,http://www.salineandblairingonechurch.org.uk/,0,1,2011,10/06/2011,,,,,,
313210.6881,725568.0293,Scone New Church,Perth & Kinross,protestant - reformed,C of S,,0,1,2005,17/11/2005,,2007,02/08/2007,,,
392981.4921,804226.1405,South Holburn Church,Aberdeen City,protestant - reformed,C of S,http://www.southholburn.org/,0,1,2008,08/12/2008,,,,,,
355233.4083,685264.7639,St Andrew Blackadder Church,East Lothian,protestant - reformed,C of S,http://www.standrewblackadder.org.uk/,0,1,2007,05/12/2007,,,,,,
300667.1487,681338.2267,St Andrew's Church of Scotland Bo'ness,West Lothian,protestant - reformed,C of S,http://www.standonline.org.uk,0,1,2011,03/02/2011,,,,,,
261891,665530,St Andrew's East Parish Church,Glasgow,protestant - reformed,C of S,,0,1,2011,10/06/2011,,,,,,
334509.715,672655.0047,St Andrew's High Parish Church,East Lothian,protestant - reformed,C of S,http://www.standrewshighchurch.co.uk/,0,1,2002,01/11/2002,,2004,09/03/2004,20/03/2014,,
327379.4704,861246.3455,St Andrew's Lhanbryde & Urquhart Parish Church,Moray,protestant - reformed,C of S,http://salucofs.wordpress.com,0,1,2006,02/03/2006,,,,,,
319359.9487,566487.5346,St Andrew's Parish Church-Annan,Dumfries and Galloway,protestant - reformed,C of S,http://asabpc.org.uk/,0,1,2005,15/07/2005,,,,,,
269325.0658,657316.6326,St Andrew's Parish Church-Blantyre,South Lanarkshire,protestant - reformed,C of S,http://www.standrewsblantyre.com/,0,1,2004,14/05/2004,,,,,,
340446.6914,730688.8407,St Andrews Parish Church,Dundee,protestant - reformed,C of S,www.standrewsparishchurch.co.uk,0,1,2014,05/02/2014,,,,,,
359437.0072,631091.2964,St Boswells Parish Church,Scottish Borders,protestant - reformed,C of S,http://www.stboswells.bordernet.co.uk/organisations/45.html,0,1,2014,04/06/2014,,,,,,
448008.5953,1141067.978,St Columba's Church,Shetland,protestant - reformed,C of S,http://www.shetland-communities.org.uk/subsites/lbpc/,0,1,2004,09/11/2004,,,,,,
324762,673548,St Cuthbert’s Parish Church,Edinburgh,protestant - reformed,C of S,http://www.st-cuthberts.net/,0,1,2009,14/12/2009,,,,,,
297078.1871,576375.6066,St George's Church Of Scotland,Dumfries and Galloway,protestant - reformed,C of S,http://www.saint-georges.org.uk/,0,1,2007,08/02/2007,,,,,,
321905.2023,862772.493,St Giles & St Columba's South (Elgin St Giles and St Columba's South Church),Moray,protestant - reformed,C of S,http://www.elginstgileschurch.co.uk,0,1,2005,07/12/2005,,2007,02/08/2007,20/03/2011,,
253002,662570.6,St James (Pollok) Parish Church,Glasgow,protestant - reformed,C of S,http://www.stjamespollok.org/,0,1,2003,16/12/2003,,2004,24/06/2004,22/02/2008,,
311929.5849,723548.5826,St John's Kirk-Perth,Perth & Kinross,protestant - reformed,C of S,http://www.st-johns-kirk.co.uk,0,1,2011,07/04/2011,,2014,12/03/2014,,,
284701.8576,650295.2752,St John's Parish Church-Carluke,South Lanarkshire,protestant - reformed,C of S,http://www.carluke-stjohns.org.uk/index.shtm,0,1,,n/a,,,,,,
388606.532,846905.7535,St Kane's Church,Aberdeenshire,protestant - reformed,C of S,http://www.stkanes.org.uk/,0,1,2015,19/03/2015,,,,,,
234043.1475,620260.9695,St Leonard's Church,South Ayrshire,protestant - reformed,C of S,http://www.ayrstleonards.org.uk/,0,1,2006,n/a,,2006,13/03/2006,,,
239179.8567,665287.1035,St Machar's Ranfurly,Renfrewshire,protestant - reformed,C of S,http://stmacharsranfurlychurch.org.uk,0,1,2008,10/04/2008,,,,,,
311467.1823,687743.1342,"St Margaret's Church of Scotland, Dunfermline",Fife,protestant - reformed,C of S,http://www.stmargaretscofsdunfermline.org.uk/,0,1,2013,22/10/2013,,,,,,
229188.0778,649459.4255,St Margaret's Parish Church,North Ayrshire,protestant - reformed,C of S,http://stmargaretsdalry.weebly.com,0,1,,n/a,,,,,,
351857.6082,673608.2312,"St Mary's Parish Church, Haddington",East Lothian,protestant - reformed,C of S,http://www.stmaryskirk.co.uk/,0,1,2005,24/11/2005,,,,,,
311429.1615,686838.7732,St Ninian's Church-Dunfermline,Fife,protestant - reformed,C of S,,0,1,2007,30/07/2007,,2009,13/09/2009,,,
325664.1063,700676.6023,St Ninian's Parish Church-Glenrothes,Fife,protestant - reformed,C of S,www.stninians.co.uk,0,1,2009,17/03/2009,,,,,,
331247,673651,St Philip’s Church Joppa,Edinburgh,protestant - reformed,C of S,http://www.stphilips-joppa.org.uk/,0,1,2013,14/08/2013,,,,,,
287269.2368,682961.3764,Stenhouse & Carron Parish Church,Falkirk,protestant - reformed,C of S,http://stenhouseandcarron.org.uk,0,1,2014,18/09/2014,,,,,,
305883.6984,671952.0549,Strathbrock Parish Church,West Lothian,protestant - reformed,C of S,http://www.strathbrockparish.net/,0,1,2006,20/11/2006,,2014,10/11/2014,,,
229849,739597,Strathfillan Church,Argyll & Bute,protestant - reformed,C of S,,0,1,2008,07/11/2008,,,,,,
345844.4699,728585.0016,Tayport Parish Church,Fife,protestant - reformed,C of S,http://www.tayportparishchurch.co.uk,0,1,2009,25/08/2009,,2012,02/04/2012,,,
276172.1998,651271.5714,Trinity Parish Church,South Lanarkshire,protestant - reformed,C of S,,0,1,2014,04/12/2014,,,,,,
261841.8,667642.7,Tron St Mary’s Church,Glasgow,protestant - reformed,C of S,http://tronstmarys.co.uk/,0,1,2014,16/09/2014,,,,,,
306135.3081,671811.9151,Uphall South Parish Church,West Lothian,protestant - reformed,C of S,http://www.uphallsouthchurch.org.uk,0,1,2007,20/11/2007,,2010,21/11/2010,,,
325603.039,862098.0036,Urquhart Parish Church,Moray,protestant - reformed,C of S,http://salucofs.wordpress.com,0,1,2006,20/02/2006,,,,,,
307404.3522,667270.5892,West Kirk of Calder,West Lothian,protestant - reformed,C of S,,0,1,2005,14/06/2005,,,,,,
353439.0512,668059.7227,Yester Parish Church,East Lothian,protestant - reformed,C of S,,0,1,2007,30/07/2007,,,,,,
143471,751521,"Kilninian & Kilmore, Isle of Mull",Argyll & Bute,protestant - reformed,C of S,,0,1,2002,01/04/2002,,2003,10/10/2003,02/08/2007,25/09/2013,
308527.2349,678884.783,Abercorn Church (Pardovan?),West Lothian,protestant - reformed,C of S,http://www.pkwla.co.uk,1,1.5,2008,29/02/2008,,2010,05/09/2010,,,
300649.8626,820329.8109,Abernethy Parish Church,Highland,protestant - reformed,C of S,http://nethybridge.com/community/abernethy-parish-church/,1,1.5,2008,13/02/2008,,,,,,
238717.4615,681678.051,Alexandria Parish Church,West Dunbartonshire,protestant - reformed,C of S,http://www.alexandriaparishchurch.co.uk,1,1.5,2011,28/09/2011,,,,,,
306313.0678,735096.6049,Auchtergaven and Moneydie Parish Church (Bankfoot),Perth & Kinross,protestant - reformed,C of S,http://www.bankfootchurch.org.uk,1,1.5,2008,05/11/2008,,,,,,
254479.319,689175.3678,Balfron Church,Stirling,protestant - reformed,C of S,http://www.balfronchurch.org.uk/eco-church/,1,1.5,2009,13/06/2009,,2010,08/06/2010,,,
304006.9233,637898.0182,Biggar Kirk,South Lanarkshire,protestant - reformed,C of S,http://www.biggarkirk.btck.co.uk/OurChurch,1,1.5,2004,01/11/2004,,,,,,
360532.2919,792498.3356,Birse & Feughside Parish Church,Aberdeenshire,protestant - reformed,C of S,http://www.birseandfeughside.org.uk,1,1.5,2001,04/09/2001,,,,,,
321932.9675,674621.6226,Blackhall St Columba's Parish Church,Edinburgh,protestant - reformed,C of S,www.blackhallstcolumba.org.uk,1,1.5,2005,05/02/2005,,2006,16/09/2006,,,
279155.3847,697353.4244,Bridge of Allan Parish Church,Stirling,protestant - reformed,C of S,http://www.bridgeofallanparishchurch.org.uk,1,1.5,2005,15/07/2005,,,,,,
264419.4476,665748.7087,Cranhill Parish Church Of Scotland,Glasgow,protestant - reformed,C of S,http://cranhillchurch.org.uk,1,1.5,2009,26/01/2009,,,,,,
337336.5623,714364.7691,Cupar Old and St Michael of Tarvit Church,Fife,protestant - reformed,C of S,http://www.cuparold.org.uk,1,1.5,2009,26/01/2009,,2009,30/05/2009,,,
276709.6352,824208.035,Dalarossie Church,Highland,protestant - reformed,C of S,http://www.strathdearn.org/about-strathdearn/local-churches.html,1,1.5,2010,06/09/2010,,2012,11/10/2012,,,
272345.46,839446.166,Daviot Church,Highland,protestant - reformed,C of S,http://www.strathsnairnanddearn.co.uk,1,1.5,2011,16/02/2011,,2013,18/01/2013,,,
379234.0621,799304.8229,Drumoak Church,Aberdeenshire,protestant - reformed,C of S,http://drumoakdurriskirk.com,1,1.5,2005,20/04/2005,,,,,,
313051.9875,718430.9717,Dunbarney and Forgandenny Parish Church,Perth & Kinross,protestant - reformed,C of S,http://www.dfpchurch.org.uk,1,1.5,,Missing,,,,,,
278138.5717,701383.8891,Dunblane Cathedral,Stirling,protestant - reformed,C of S,http://www.dunblanecathedral.org.uk,1,1.5,2008,14/05/2008,,2010,04/07/2010,14/05/2014,,
266020.8972,832971.8357,Dunlichity Church,Highland,protestant - reformed,C of S,http://www.strathsnairnanddearn.co.uk,1,1.5,2011,02/02/2011,,2013,29/01/2013,,,
377269.3615,796157.5958,Durris Church,Aberdeenshire,protestant - reformed,C of S,http://drumoakdurriskirk.com,1,1.5,2005,15/07/2005,,,,,,
288732.7569,680008.4618,Falkirk Trinity Church,Falkirk,protestant - reformed,C of S,http://falkirktrinity.org.uk,1,1.5,2002,25/02/2002,,2003,01/05/2003,05/03/2006,09/07/2009,
393737.8571,805090.9673,Ferryhill Parish Church,Aberdeen City,protestant - reformed,C of S,http://www.ferryhillparishchurch.org,1,1.5,2008,08/09/2008,,,,,,
345715.2082,750625.185,Forfar East and Old Parish Church,Angus,protestant - reformed,C of S,http://www.thebigkirk.co.uk/,1,1.5,2010,03/02/2010,,,,,,
338622.3261,753934.3265,Glens and Old Kirriemuir Parish Church,Angus,protestant - reformed,C of S,http://www.gkopc.co.uk,1,1.5,2007,23/02/2007,,,,,,
257382.3802,656875.046,Greenbank Parish Church,Glasgow,protestant - reformed,C of S,http://www.greenbankglasgow.org.uk/3.html,1,1.5,2004,16/02/2004,,,,,,
229530.3007,682472.2561,"Helensburgh Parish Church (formerly St Andrew's Kirk, Helensburgh)",Argyll & Bute,protestant - reformed,C of S,standrewskirk.org,1,1.5,2011,10/05/2011,,,,,,
350548.1099,716717.2901,Hope Park and Martyrs Parish Church,Fife,protestant - reformed,C of S,http://www.hpmchurch.org.uk,1,1.5,2012,07/11/2012,,2009,26/06/2009,,,
255854.4298,667451.2231,Hyndland Parish Church,Glasgow,protestant - reformed,C of S,http://www.hyndlandparishchurch.org,1,1.5,2010,27/08/2010,,,,,,
239766.9099,681330.9158,Jamestown Parish Church,West Dunbartonshire,protestant - reformed,C of S,,1,1.5,2006,20/11/2006,,2014,10/11/2014,,,
302962.3582,676474.809,Kingscavil Church,West Lothian,protestant - reformed,C of S,http://www.pkwla.co.uk,1,1.5,2007,07/09/2007,,2010,10/10/2010,01/06/2014,,
312292.222,723531.3803,Kinnoull Parish Church,Perth & Kinross,protestant - reformed,C of S,http://www.kinnoullparishchurch.co.uk/,1,1.5,2004,01/07/2004,,,,,,
254322.2686,655085.5919,Mearns Kirk,East Renfrewshire,protestant - reformed,C of S,http://www.mearnsparishkirk.co.uk,1,1.5,2004,21/01/2004,,2005,18/09/2005,01/04/2008,,
284976.2876,696927.9993,Menstrie Parish Church,Clackmananshire,protestant - reformed,C of S,http://www.menstrieparishchurch.co.uk/,1,1.5,2009,28/04/2009,,2011,27/03/2011,14/09/2014,,
265259.7883,676736.2935,Milton Of Campsie Parish Church,East Dunbartonshire,protestant - reformed,C of S,www.mocpc.org.uk,1,1.5,2007,10/04/2007,,,,,,
277200.6193,834190.0132,Moy Parish Church,Highland,protestant - reformed,C of S,,1,1.5,2007,13/03/2007,,2013,19/06/2013,,,
322629.5954,673249.9144,Murrayfield Parish Church,Edinburgh,protestant - reformed,C of S,http://www.murrayfieldparishchurch.org.uk,1,1.5,2007,13/12/2007,,2008,10/12/2008,,,
266588.9848,844832.4132,Ness Bank Church,Highland,protestant - reformed,C of S,http://www.nessbank.net,1,1.5,2011,04/07/2011,,,,,,
257719.9257,658977.7865,Netherlee Church,East Renfrewshire,protestant - reformed,C of S,http://www.netherleechurch.org,1,1.5,2007,26/04/2007,,2008,06/12/2008,,,
388817,819382,Newmachar Parish Church,Aberdeenshire,protestant - reformed,C of S,http://www.newmacharchurch.org/,1,1.5,2001,28/05/2001,,,,,,
311603,723651,North Church Perth,Perth & Kinross,protestant - reformed,C of S,http://www.perthnorthchurch.org.uk,1,1.5,,,,,,,,
280136.1679,692003.7661,North Parish Church,Stirling,protestant - reformed,C of S,http://www.northparishchurch.com,1,1.5,2008,22/09/2008,,,,,,
325035.7154,640378.3489,Old Parish Church of Peebles,Scottish Borders,protestant - reformed,C of S,http://www.newmacharchurch.net,1,1.5,2006,02/11/2006,,,,,,
323458.7758,660278.4279,Penicuik North Kirk,Midlothian,protestant - reformed,C of S,http://www.pnk.org.uk,1,1.5,2010,14/09/2010,,2013,10/09/2013,,,
310941.2053,725511.3682,Perth Riverside Church,Perth & Kinross,protestant - reformed,C of S,http://perthriverside.webnode.com/,1,1.5,2013,04/03/2013,,,,,,
384057.9534,800631.4923,Peterculter Parish Church,Aberdeen City,protestant - reformed,C of S,http://culterkirk.co.uk,1,1.5,2004,18/11/2004,,2006,19/03/2006,21/02/2010,,
