X,Y,name,network,category,denomination,website,awards,icon_size2,year_begun,registration,,first_award,award1,award2,award3,award4
312934.1456,678234.8066,Queensferry Parish Church,Edinburgh,protestant - reformed,C of S,http://www.qpcweb.org,1,1.5,2003,03/03/2003,,2011,10/10/2011,,,
260648.2718,667697.829,Springburn Parish Church,Glasgow,protestant - reformed,C of S,http://www.springburnparishchurch.btck.co.uk,1,1.5,2009,23/04/2009,,2012,30/07/2012,,,
310657.2852,688484.6258,St Andrew's Erskine Church,Fife,protestant - reformed,C of S,http://www.standrewserskine.org.uk,1,1.5,2004,26/08/2004,,2005,11/11/2005,30/06/2008,,
276685.9436,666469.9164,St Columba's Church Airdie,North Lanarkshire,protestant - reformed,C of S,,1,1.5,2008,21/07/2008,,,,,,
341378.4056,717405.1,St John's and Dairsie United Parish Church-Cupar,Fife,protestant - reformed,C of S,http://cuparstjohnsanddairsie.org,1,1.5,2011,02/03/2011,,2011,10/10/2011,,,
299307.4333,677048.787,St Ninian's Craigmailen Parish Church,West Lothian,protestant - reformed,C of S,http://www.stninianscraigmailen.org.uk,1,1.5,2008,03/10/2008,,,,,,
279538.7893,691662.4053,St Ninian's Old Parish Church,Stirling,protestant - reformed,C of S,http://www.stniniansold.org.uk,1,1.5,2010,12/08/2010,,,,,,
324742.177,674788.5202,Stockbridge Church,Edinburgh,protestant - reformed,C of S,www.stockbridgechurch.org.uk,1,1.5,2005,19/12/2005,,2007,14/04/2007,30/01/2011,,
280270.816,828950.8621,Tomatin Church,Highland,protestant - reformed,C of S,http://www.strathdearn.org/about-strathdearn/local-churches.html,1,1.5,2013,12/05/2013,,2013,05/07/2013,,,
308645.2454,674997.8568,Winchburgh Church,West Lothian,protestant - reformed,C of S,http://www.pkwla.co.uk,1,1.5,2010,29/01/2010,,2011,28/01/2011,,,
251095.4632,668887.7762,Yoker Parish Church,Glasgow,protestant - reformed,C of S,,1,1.5,2006,02/11/2006,,,,,,
249870.8157,670291.0771,Abbotsford Parish Church,West Dunbartonshire,protestant - reformed,C of S,,2,2,2007,13/12/2007,,2014,05/10/2014,,,
184988.0869,684504.8911,Ardrishaig Parish Church,Argyll & Bute,protestant - reformed,C of S,,2,2,2007,22/01/2007,,,,,,
262248.3164,660070.5383,Burnside Blairbeth Church,South Lanarkshire,protestant - reformed,C of S,http://www.burnsideblairbethchurch.org/siteb/,2,2,2003,27/03/2003,,2007,09/11/2007,,,
262014.0712,672075.0169,Cadder Parish Church Hall,East Dunbartonshire,protestant - reformed,C of S,,2,2,2007,15/10/2007,,,,,,
272322.8221,655015.3982,Cadzow Parish Church,South Lanarkshire,protestant - reformed,C of S,http://www.cadzowchurch.org.uk,2,2,2011,07/04/2011,,2014,12/03/2014,,,
283073.2492,561107.9197,Dalbeattie Parish Church,Dumfries and Galloway,protestant - reformed,C of S,http://www.dalbeattiechurch.co.uk,2,2,2001,19/09/2001,,2003,10/11/2003,,,
388718.0077,813010.9275,Dyce Parish Church,Aberdeen City,protestant - reformed,C of S,http://www.dyceparishchurch.org.uk,2,2,2006,03/05/2006,,2008,07/03/2008,29/05/2011,,
377412.8907,821571.4641,Inverurie West Parish Church,Aberdeenshire,protestant - reformed,C of S,http://www.inveruriewestchurch.org,2,2,2003,07/08/2003,,2003,09/10/2003,19/08/2006,08/07/2009,01/11/2013
373714.4794,816088.0282,Kemnay Parish Church,Aberdeenshire,protestant - reformed,C of S,http://www.kemnaykirk.org.uk,2,2,2007,30/07/2007,,2008,22/09/2008,,,
186137.5792,729557.2477,Kilmore & Oban Church,Argyll & Bute,protestant - reformed,C of S,http://www.obanchurch.com,2,2,2005,n/a,,2005,08/03/2005,,,
364346.383,741213.3708,"Old & Abbey Parish Church, Arbroath",Angus,protestant - reformed,C of S,old-and-abbey-church.org.uk,2,2,2006,03/07/2006,,2011,20/03/2011,,,
392536.3035,805817.7918,Queen's Cross Church,Aberdeen City,protestant - reformed,C of S,,2,2,2009,02/06/2009,,2008,01/04/2008,,,
249488.3965,671221.7217,Radnor Park Parish Church (Clydebank),West Dunbartonshire,protestant - reformed,C of S,,2,2,2006,02/03/2006,,,,04/08/2015,,
393905.0319,808761.1314,St Machar's Cathedral,Aberdeen City,protestant - reformed,C of S,http://www.stmachar.com,2,2,2003,07/10/2003,,2005,20/02/2005,11/12/2012,,
265447.1505,673888.7179,"St Mary's Parish Church, Kirkintilloch",East Dunbartonshire,protestant - reformed,C of S,http://www.stmaryskirkintilloch.org.uk/findus.php,2,2,2010,11/05/2010,,,,,,
312089.0981,723562.5305,St Matthew's Church of Scotland,Perth & Kinross,protestant - reformed,C of S,http://www.stmatts.org.uk,2,2,2005,21/10/2005,,2007,03/09/2007,05/02/2013,,
291048.5292,672966.2781,Torphichen Kirk linked with Avonbridge Parish Church,West Lothian,protestant - reformed,C of S,http://avonbridge.torphichen.org/index.html,2,2,2013,18/04/2013,,,,,,
394551.2317,804890.1997,Torry St Fitticks Parish Church,Aberdeen City,protestant - reformed,C of S,http://www.torrychurch.org.uk,2,2,2006,09/10/2006,,,10/03/2015,,,
383258.9268,807180.0561,Skene & Trinity Church,Aberdeenshire,protestant - reformed,C of S,http://www.skeneparish.com,3,2.5,2006,03/07/2006,,2011,20/03/2011,10/06/2011,04/08/2015,
272400.702,655262.3425,"St John's Church Of Scotland, Hamilton",South Lanarkshire,protestant - reformed,C of S,http://www.stjohnshamilton.org.uk,3,2.5,2004,27/02/2004,,2004,20/11/2004,25/11/2010,,
394091.1988,806292.6838,Kirk of St Nicholas,Aberdeen City,protestant - reformed,C of S / URC,http://www.kirk-of-st-nicholas.org.uk/home/Default.asp,0,1,2010,30/11/2010,,,,,,
248050.5372,664124.354,"Oakshaw Trinity Church, Paisley",Renfrewshire,protestant - reformed,C of S / URC,http://oakshawtrinity.org,0,1,2009,06/07/2009,,,,,,
324581,671934,Morningside United Church,Edinburgh,protestant - reformed,C of S / URC,http://www.morningsideunitedchurch.org.uk/,0,1,2008,08/01/2008,,,,,,
311670.5753,723816.5768,Perth Congregational Church,Perth & Kinross,protestant - independent,Cong,,0,1,2004,17/03/2004,,,,,,
134731.6229,723229.0428,Camas Centre,Argyll & Bute,protestant - other,Ecu,http://iona.org.uk/island-centres/camas/,0,1,2010,26/10/2010,,,,,,
128683,724516,Iona Abbey,Western Isles,protestant - other,Ecu,http://iona.org.uk/organisation/glasgow/#,1,1.5,2006,20/11/2006,,2014,10/11/2014,,,
288903.6351,680726.6693,Grahamston United Parish Church,Falkirk,protestant - other,Ecu,http://www.fgu.moonfruit.com,1,1.5,2009,20/10/2009,,,,,,
258793.3167,665852.8668,Iona Community Glasgow,Glasgow,protestant - other,Ecu,http://iona.org.uk/organisation/glasgow/#,1,1.5,2010,04/03/2010,,2012,22/06/2012,,,
303539.5954,669136.3396,Livingston United Parish Church,West Lothian,protestant - other,Ecu,http://www.livingstonecumenicalparish.org.uk,2,2,2006,19/01/2006,,2007,27/11/2007,,,
326092.9535,672959.9625,Buccleuch and Greyfriars Free Church of Scotland,Edinburgh,protestant - reformed,FCS,http://www.buccleuchfreechurch.co.uk/,0,1,2007,26/06/2007,,2011,21/09/2011,,,
326379.9203,672562.9825,Community Church Edinburgh,Edinburgh,protestant - independent,Independent,http://www.cce.uk.net/,0,1,2005,06/10/2005,,,,,,
256511,660582,Auldhouse Community Church,Glasgow,protestant - independent,Independent,http://www.auldhousecommunitychurch.org,0,1,2015,16/06/2015,,,,,,
326024.5786,673194.9091,City of Edinburgh Methodist Church,Edinburgh,protestant - other,Meth,edinburghmethodist.com,1,1.5,2005,05/02/2005,,2006,16/09/2006,,,
318139.0343,745302.8407,Riverside Methodist Chuch,Perth & Kinross,protestant - other,Meth,www.riverside-methodist-church.co.uk,0,1,,n/a,,,,,,
279125.7736,697288.2876,St Saviour's Church-Bridge of Allan,Stirling,protestant - other,Meth,http://www.saint-saviour.org/,0,1,2003,07/08/2003,,2003,09/10/2003,19/08/2006,07/07/2009,01/11/2013
279489.9778,693904.1567,Stirling Methodist Church,Stirling,protestant - other,Meth,http://www.stirlingmethodistchurch.org.uk,2,2,2006,26/06/2006,,2014,05/10/2014,,,
260852,666249,Glasgow Foundry Boys Religious Society,Glasgow,protestant - independent,Non.,,0,1,2014,05/03/2014,,,,,,
266262,844463,Inverness Quaker Meeting,Highland,protestant - other,Quaker,,0,1,2015,22/01/2015,,,,,,
325079.7476,673119.9355,Church of the Sacred Heart,Edinburgh,roman catholic,RC,http://sacredheartedinburgh.org,2,2,2002,01/08/2002,,,,,,
297481.9227,576046.8097,"St Andrew’s Church, Dumfries",Dumfries and Galloway,roman catholic,RC,http://www.standrewsdumfries.org.uk/,0,1,2008,23/06/2008,,,,,,
337258.9825,714202.4931,St Columbas Cupar,Fife,roman catholic,RC,https://web.archive.org/web/20130519022515/http://stcolumbascupar.org,0,1,,Missing,,,,,,
243780.1259,664615.6017,St Conval's Parish Church,Renfrewshire,roman catholic,RC,http://www.stconvalscatholicchurch.org.uk,0,1,2011,08/02/2011,,,,,,
250837.7718,659216.9542,St John the Evangelist Parish,East Renfrewshire,roman catholic,RC,http://www.stjohns-barrhead.org/,0,1,2014,27/11/2014,,,,,,
266522,664389,St Jude and St John Ogilvie Roman-Catholic Church,Glasgow,roman catholic,RC,http://www.stjudesglasgow.org.uk/,0,1,2010,11/03/2010,,,,,,
303444.7296,668666.7014,St Peter's Livingston,West Lothian,roman catholic,RC,http://standrewsrclivingston.ning.com,0,1,2012,10/02/2012,,,,,,
248753.8619,671372.2567,St Stephen's Church,West Dunbartonshire,roman catholic,RC,,0,1,2006,20/12/2006,,,,,,
325074,673107,Lauriston Jesuit Centre,Edinburgh,roman catholic,RC,http://www.lauriston.org.uk,1,1.5,2009,28/01/2009,,,,,,
354796.7933,734289.1477,St Anne's,Angus,roman catholic,RC,http://www.stannescarnoustie.co.uk,1,1.5,2010,01/12/2010,,,,,,
349864.8084,732482.0202,St Bride's,Angus,roman catholic,RC,http://www.stannescarnoustie.co.uk,1,1.5,2010,16/07/2010,,,,,,
246863.5689,664238.8512,St Fergus Church Paisley,Renfrewshire,roman catholic,RC,,1,1.5,2013,05/02/2013,,2003,09/09/2003,25/06/2008,,
319725.0313,670202.505,St John Ogilvie Church,Edinburgh,roman catholic,RC,http://www.st-john-ogilvie.org.uk,1,1.5,2010,18/05/2010,,,,,,
324689.5406,671451.5032,St Peter's RC Church,Edinburgh,roman catholic,RC,http://www.stpetersrcchurchedinburgh.org.uk,1,1.5,2011,11/01/2011,,,,,,
363806.3499,740619.1097,"St Thomas of Canterbury, Arbroath",Angus,roman catholic,RC,http://www.stannescarnoustie.co.uk,1,1.5,2010,21/04/2010,,,,,,
324737.6019,673646.3231,St John the Evangelist (Princes Street),Edinburgh,protestant - other,SEC,http://www.stjohns-edinburgh.org.uk,2,2,2006,05/06/2006,,2009,13/03/2009,,,
321815.9948,668837.0364,St Cuthbert's Episcopal Church Colinton,Edinburgh,protestant - other,SEC,http://www.stcuthbertscolinton.org.uk,1,1.5,2003,08/09/2003,,2008,22/12/2008,,,
326496,672537,St Peter’s Church,Edinburgh,protestant - other,SEC,http://stpetersedinburgh.org/,0,1,2004,18/02/2004,,,,,,
350913.7278,716589.6109,St Andrew's-St Andrew's,Fife,protestant - other,SEC,http://www.stasstas.com,1,1.5,2005,21/11/2005,,2009,30/07/2009,,,
345148.4968,1010637.409,St Olaf's Church-Kirkwall,Orkney Islands,protestant - other,SEC,http://www.stolafs.org.uk,0,1,2004,16/06/2004,,,,,,
353817.5114,634170.5543,Holy Trinity Melrose,Scottish Borders,protestant - other,SEC,www.holytrinitymelrose.org.uk,1,1.5,2012,28/05/2012,,2015,Jun-15,,,
385396,823606,"All Saints' Church, Whiterashes",Aberdeenshire,protestant - other,SEC,,0,1,2015,19/03/2015,,,,,,
324470.0423,671928.4029,Christ Church Morningside,Edinburgh,protestant - other,SEC,www.christchurchmorningside.co.uk,0,1,2007,22/06/2007,,,,,,
321462.9548,862978.6424,"Holy Trinity Church, Elgin",Moray,protestant - other,SEC,,0,1,2009,15/06/2009,,,,,,
294167.9999,758301.3853,"Holy Trinity Church, Pitlochry",Perth & Kinross,protestant - other,SEC,http://www.htkepiscopalchurchesperthshire.org,0,1,2006,04/01/2006,,,,,,
266424.857,844875.7758,St Andrew's Cathedral,Highland,protestant - other,SEC,www.invernesscathedral.co.uk,0,1,,Missing,,,,,,
394458.7089,806459.0326,"St Andrew's Episcopal Cathedral, Aberdeen",Aberdeen City,protestant - other,SEC,http://www.cathedral.aberdeen.anglican.org,0,1,2005,18/05/2005,,,,,,
277718.1047,882207.5186,St Andrew's Episcopal Church Tain,Highland,protestant - other,SEC,http://theauldkirk.org/,0,1,,n/a,,2009,06/12/2009,,,
325471,673465,St Columba’s-by-the-Castle,Edinburgh,protestant - other,SEC,http://www.stcolumbasbythecastle.org.uk/,0,1,2013,03/09/2013,,,,,,
363077,828060,St Drostan's Episcopal Church,Aberdeenshire,protestant - other,SEC,,0,1,2015,13/05/2015,,,,,,
337569.4867,714572.0741,St James the Great-Cupar,Fife,protestant - other,SEC,http://www.stjamesandstmarys.co.uk,0,1,2006,13/03/2006,,2009,10/09/2009,30/09/2013,,
327274,676155,"St James, Leith",Edinburgh,protestant - other,SEC,http://www.stjamesleith.org/,0,1,2003,10/06/2003,,2006,09/10/2006,04/10/2009,02/10/2012,
290032.8078,811152.5061,St John the Baptist-Rothiemurchus,Highland,protestant - other,SEC,http://www.stjohns-rothiemurchus.co.uk,0,1,2005,02/11/2005,,2010,25/01/2010,,,
288572.9528,692552.2516,St John's Episcopal Church Alloa,Clackmananshire,protestant - other,SEC,,0,1,2015,15/05/2006,01/03/2015,,,,,
304085.3769,859204.8817,St John's Forres,Moray,protestant - other,SEC,http://stjohnsforres.wordpress.com,0,1,2011,25/01/2011,,,,,,
185693.1732,880688.5039,St Maelrubha's Episcopal Church,Highland,protestant - other,SEC,http://www.spanglefish.com/stmaelrubhapoolewe/,0,1,2012,09/10/2012,,,,,,
252364.746,700945.0018,St Mary's Church Aberfoyle,Stirling,protestant - other,SEC,http://www.stmarychurchaberfoyle.org.uk/,0,1,2008,29/02/2008,,2010,05/09/2010,,,
314546.22,669076.148,"St Mary's Episcopal Church, Dalmahoy",West Lothian,protestant - other,SEC,http://www.stmarysdalmahoy.org.uk,0,1,,Missing,,,,,,
377800,820889,St Mary's Inverurie,Aberdeenshire,protestant - other,SEC,,0,1,2015,16/06/2015,,,,,,
332117.5118,839879.8978,St Michael's-Dufftown,Moray,protestant - other,SEC,,0,1,2008,21/07/2008,,,,,,
271520.9923,868806.3227,St Ninian-Invergordon,Highland,protestant - other,SEC,,0,1,2007,03/12/2007,,2010,21/02/2010,,,
258182.3,663155.3,St Ninian's Church Pollokshields,Glasgow,protestant - other,SEC,http://www.stniniansglasgow.org.uk/,0,1,2004,01/04/2004,,,,,,
300044.4223,677084.3583,St Peter's Scottish Episcopal Church,West Lothian,protestant - other,SEC,http://www.stpeterslinlithgow.co.uk,0,1,2010,01/12/2010,,,,,,
318744,672784,St Thomas Episcopal Church,Edinburgh,protestant - other,SEC,http://www.saintthomas.org.uk/,0,1,2007,Missing,,2007,Apr-07,,,
351989,798490,"St Thomas Episcopal Church, Aboyne",Aberdeenshire,protestant - other,SEC,http://www.stthomasaboyne.org,0,1,2008,01/09/2008,,,,,,
185850,730392,"The Cathedral Church of St John the Divine, Oban",Argyll & Bute,protestant - other,SEC,,0,1,2014,29/10/2014,,,,,,
359518.3072,760389.6103,St Andrew's Brechin,Angus,protestant - other,SEC,http://standrewschurchbrechin.org,1,1.5,2006,26/03/2006,,2006,26/03/2006,26/09/2010,,
273128.9414,659581.2063,St Andrew's Church Uddingston,South Lanarkshire,protestant - other,SEC,,1,1.5,2012,05/03/2012,,2014,05/06/2014,,,
286884.5219,721782.8013,St Columba's Church-Crieff,Perth & Kinross,protestant - other,SEC,http://www.strathearnchurches.org.uk,1,1.5,2004,01/11/2004,,,,,,
264309.8361,660123.9327,St Curhbert's Cambuslang,South Lanarkshire,protestant - other,SEC,,1,1.5,2008,01/08/2008,,2010,25/04/2010,,,
256995.2875,660835.883,St Margaret's Newlands,Glasgow,protestant - other,SEC,http://episcopalnewlands.org.uk,1,1.5,2006,08/01/2006,,,,,,
323546.946,672558.9726,St Martin of Tours Episcopal Church,Edinburgh,protestant - other,SEC,http://stmartinsedinburgh.org.uk,1,1.5,2009,n/a,,2009,26/04/2009,20/02/2012,,
229221.9274,682493.7315,St Michael & All Angels,Argyll & Bute,protestant - other,SEC,www.stmichaelhelensburgh.org.uk,1,1.5,2001,08/08/2001,,,,,,
311499.9553,723905.5771,St Ninian's Cathedral,Perth & Kinross,protestant - other,SEC,http://www.perthcathedral.co.uk,1,1.5,2004,21/09/2004,,,,,,
325911.3521,674388.8819,St Paul's and St George's Episcopal Church,Edinburgh,protestant - other,SEC,http://www.pandgchurch.org.uk,1,1.5,2003,29/04/2003,,,,,,
278484.3423,701231.05,St Mary's Episcopal Church Dunblane,Stirling,protestant - other,SEC,http://church.stmarysdunblane.org,2,2,2008,17/12/2008,,2014,30/06/2014,,,
324814,673487,St Mark’s Unitarian Church,Edinburgh,protestant - other,Unitarian,http://www.ukunitarians.org.uk/edinburgh/,0,1,2014,19/02/2014,,,,,,
325707.1352,673370.2424,Augustine United Church,Edinburgh,protestant - reformed,URC,www.augustine.org.uk,0,1,2007,21/12/2007,,,,,,
321927.9722,672810.3607,Saughtonhall Church,Edinburgh,protestant - reformed,URC,http://www.saughtonhall.com,2,2,2009,02/06/2009,,,,,,
276509.9079,676003.7182,Cumbernauld Old Parish Church,North Lanarkshire,protestant - reformed,URC,,0,1,2006,09/05/2006,,,,,,
249524.7659,670171.3357,Morison Memorial URC,West Dunbartonshire,protestant - reformed,URC,http://morison-urc.webs.com,0,1,2010,16/07/2010,,,,,,
231807.2045,674571.0311,Port Glasgow United Reformed Church,Inverclyde,protestant - reformed,URC,,0,1,2008,18/01/2008,,,,,,
262636,653518,Righead United Reformed Church,South Lanarkshire,protestant - reformed,URC,http://righeadurc.wix.com/home,0,1,2015,14/01/2015,,,,,,
261265.651,661216.9404,Rutherglen United Reformed Church,South Lanarkshire,protestant - reformed,URC,http://www.rutherglenurc.org.uk/,0,1,2012,25/09/2012,,,,,,
348112,636803,Selkirk United Reformed Church,Scottish Borders,protestant - reformed,URC,http://dbethune.com/selkirkchurches/?page_id=8,0,1,2015,25/03/2015,,,,,,
330026.8625,699616.3678,Coaltown of Balgonie,Fife,protestant - reformed,URC,,1,1.5,2005,25/04/2005,,,,,,
229127.4781,682551.3777,Helensburgh United Reformed Church,Argyll & Bute,protestant - reformed,URC,http://helensburghurc.org.uk,1,1.5,2005,09/06/2005,,,,,,
256991.3648,662234.8804,Shawlands Church,Glasgow,protestant - reformed,URC,http://shawlands.urc.org.uk,1,1.5,2009,22/06/2009,,,,,,